"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 11 02:51:29 GMT 2025","Tue Feb 11 02:51:31 GMT 2025","2241","","","","","","Admin creates a new student account",""
"passed","Tue Feb 11 02:51:34 GMT 2025","Tue Feb 11 02:51:35 GMT 2025","1457","","","","","","Admin deletes a student account",""
"passed","Tue Feb 11 02:51:39 GMT 2025","Tue Feb 11 02:51:41 GMT 2025","1720","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Tue Feb 11 02:51:37 GMT 2025","Tue Feb 11 02:51:39 GMT 2025","1698","","","","","","Fill in admin login with one correct user data",""
"passed","Tue Feb 11 02:51:35 GMT 2025","Tue Feb 11 02:51:36 GMT 2025","511","","","","","","Check Login title",""
"passed","Tue Feb 11 02:51:31 GMT 2025","Tue Feb 11 02:51:34 GMT 2025","2154","","","","","","Admin modifies a student account",""
"passed","Tue Feb 11 02:51:41 GMT 2025","Tue Feb 11 02:51:42 GMT 2025","1703","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Tue Feb 11 02:51:03 GMT 2025","Tue Feb 11 02:51:18 GMT 2025","14914","","","","","","Admin lists all student accounts",""
"passed","Tue Feb 11 02:51:18 GMT 2025","Tue Feb 11 02:51:29 GMT 2025","11222","","","","","","Admin searches for a student account by Student Name",""
"passed","Tue Feb 11 02:51:36 GMT 2025","Tue Feb 11 02:51:37 GMT 2025","1697","","","","","","Fill in student login with one incorrect userName data",""
