"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 08:46:56 GMT 2025","Mon Feb 10 08:46:58 GMT 2025","1740","","","","","","Fill in admin login with one correct user data",""
"passed","Mon Feb 10 08:46:50 GMT 2025","Mon Feb 10 08:46:52 GMT 2025","2116","","","","","","Admin modifies a student account",""
"broken","Mon Feb 10 08:46:58 GMT 2025","Mon Feb 10 08:46:59 GMT 2025","1640","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Mon Feb 10 08:46:59 GMT 2025","Mon Feb 10 08:47:01 GMT 2025","1690","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Mon Feb 10 08:46:54 GMT 2025","Mon Feb 10 08:46:54 GMT 2025","492","","","","","","Check Login title",""
"passed","Mon Feb 10 08:46:47 GMT 2025","Mon Feb 10 08:46:48 GMT 2025","1220","","","","","","Admin searches for a student account by Student Name",""
"passed","Mon Feb 10 08:46:54 GMT 2025","Mon Feb 10 08:46:56 GMT 2025","1709","","","","","","Fill in student login with one incorrect userName data",""
"failed","Mon Feb 10 08:46:45 GMT 2025","Mon Feb 10 08:46:47 GMT 2025","1185","","","","","","Admin searches for a student account by Student ID",""
"passed","Mon Feb 10 08:46:35 GMT 2025","Mon Feb 10 08:46:45 GMT 2025","10578","","","","","","Admin lists all student accounts",""
"passed","Mon Feb 10 08:46:52 GMT 2025","Mon Feb 10 08:46:54 GMT 2025","1524","","","","","","Admin deletes a student account",""
"passed","Mon Feb 10 08:46:48 GMT 2025","Mon Feb 10 08:46:50 GMT 2025","2229","","","","","","Admin creates a new student account",""
