"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 09:13:46 GMT 2025","Mon Feb 10 09:13:48 GMT 2025","1660","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Mon Feb 10 09:13:43 GMT 2025","Mon Feb 10 09:13:45 GMT 2025","1679","","","","","","Fill in admin login with one correct user data",""
"passed","Mon Feb 10 09:13:41 GMT 2025","Mon Feb 10 09:13:43 GMT 2025","1865","","","","","","Fill in student login with one incorrect userName data",""
"passed","Mon Feb 10 09:13:34 GMT 2025","Mon Feb 10 09:13:35 GMT 2025","1164","","","","","","Admin searches for a student account by Student Name",""
"passed","Mon Feb 10 09:13:41 GMT 2025","Mon Feb 10 09:13:41 GMT 2025","483","","","","","","Check Login title",""
"passed","Mon Feb 10 09:13:39 GMT 2025","Mon Feb 10 09:13:41 GMT 2025","1433","","","","","","Admin deletes a student account",""
"failed","Mon Feb 10 09:13:33 GMT 2025","Mon Feb 10 09:13:34 GMT 2025","1139","","","","","","Admin searches for a student account by Student ID",""
"passed","Mon Feb 10 09:13:35 GMT 2025","Mon Feb 10 09:13:37 GMT 2025","2324","","","","","","Admin creates a new student account",""
"passed","Mon Feb 10 09:13:31 GMT 2025","Mon Feb 10 09:13:33 GMT 2025","2000","","","","","","Admin lists all student accounts",""
"broken","Mon Feb 10 09:13:45 GMT 2025","Mon Feb 10 09:13:46 GMT 2025","1619","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Mon Feb 10 09:13:37 GMT 2025","Mon Feb 10 09:13:39 GMT 2025","2061","","","","","","Admin modifies a student account",""
