"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 11 00:47:18 GMT 2025","Tue Feb 11 00:47:20 GMT 2025","2207","","","","","","Admin modifies a student account",""
"passed","Tue Feb 11 00:47:20 GMT 2025","Tue Feb 11 00:47:22 GMT 2025","1417","","","","","","Admin deletes a student account",""
"passed","Tue Feb 11 00:47:27 GMT 2025","Tue Feb 11 00:47:29 GMT 2025","1703","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Tue Feb 11 00:47:04 GMT 2025","Tue Feb 11 00:47:16 GMT 2025","11226","","","","","","Admin searches for a student account by Student Name",""
"passed","Tue Feb 11 00:47:16 GMT 2025","Tue Feb 11 00:47:18 GMT 2025","2416","","","","","","Admin creates a new student account",""
"passed","Tue Feb 11 00:47:24 GMT 2025","Tue Feb 11 00:47:26 GMT 2025","1706","","","","","","Fill in admin login with one correct user data",""
"passed","Tue Feb 11 00:47:22 GMT 2025","Tue Feb 11 00:47:22 GMT 2025","533","","","","","","Check Login title",""
"passed","Tue Feb 11 00:47:02 GMT 2025","Tue Feb 11 00:47:04 GMT 2025","1936","","","","","","Admin lists all student accounts",""
"passed","Tue Feb 11 00:47:26 GMT 2025","Tue Feb 11 00:47:27 GMT 2025","1732","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Tue Feb 11 00:47:22 GMT 2025","Tue Feb 11 00:47:24 GMT 2025","1743","","","","","","Fill in student login with one incorrect userName data",""
