"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 11 02:39:39 GMT 2025","Tue Feb 11 02:39:41 GMT 2025","1743","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Tue Feb 11 02:39:35 GMT 2025","Tue Feb 11 02:39:36 GMT 2025","535","","","","","","Check Login title",""
"passed","Tue Feb 11 02:39:09 GMT 2025","Tue Feb 11 02:39:18 GMT 2025","8656","","","","","","Admin lists all student accounts",""
"passed","Tue Feb 11 02:39:37 GMT 2025","Tue Feb 11 02:39:39 GMT 2025","1683","","","","","","Fill in admin login with one correct user data",""
"passed","Tue Feb 11 02:39:18 GMT 2025","Tue Feb 11 02:39:29 GMT 2025","11167","","","","","","Admin searches for a student account by Student Name",""
"passed","Tue Feb 11 02:39:34 GMT 2025","Tue Feb 11 02:39:35 GMT 2025","1486","","","","","","Admin deletes a student account",""
"passed","Tue Feb 11 02:39:29 GMT 2025","Tue Feb 11 02:39:31 GMT 2025","2157","","","","","","Admin creates a new student account",""
"passed","Tue Feb 11 02:39:41 GMT 2025","Tue Feb 11 02:39:42 GMT 2025","1685","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Tue Feb 11 02:39:36 GMT 2025","Tue Feb 11 02:39:37 GMT 2025","1729","","","","","","Fill in student login with one incorrect userName data",""
"passed","Tue Feb 11 02:39:31 GMT 2025","Tue Feb 11 02:39:34 GMT 2025","2160","","","","","","Admin modifies a student account",""
