"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 16:00:51 GMT 2025","Mon Feb 10 16:00:56 GMT 2025","5339","","","","","","Admin lists all student accounts",""
"passed","Mon Feb 10 16:01:07 GMT 2025","Mon Feb 10 16:01:09 GMT 2025","2336","","","","","","Admin creates a new student account",""
"passed","Mon Feb 10 16:01:13 GMT 2025","Mon Feb 10 16:01:13 GMT 2025","481","","","","","","Check Login title",""
"passed","Mon Feb 10 16:01:09 GMT 2025","Mon Feb 10 16:01:12 GMT 2025","2141","","","","","","Admin modifies a student account",""
"passed","Mon Feb 10 16:01:13 GMT 2025","Mon Feb 10 16:01:15 GMT 2025","1674","","","","","","Fill in student login with one incorrect userName data",""
"passed","Mon Feb 10 16:01:17 GMT 2025","Mon Feb 10 16:01:18 GMT 2025","1709","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Mon Feb 10 16:01:18 GMT 2025","Mon Feb 10 16:01:20 GMT 2025","1650","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Mon Feb 10 16:01:12 GMT 2025","Mon Feb 10 16:01:13 GMT 2025","1403","","","","","","Admin deletes a student account",""
"passed","Mon Feb 10 16:00:56 GMT 2025","Mon Feb 10 16:01:07 GMT 2025","11165","","","","","","Admin searches for a student account by Student Name",""
"passed","Mon Feb 10 16:01:15 GMT 2025","Mon Feb 10 16:01:17 GMT 2025","1650","","","","","","Fill in admin login with one correct user data",""
