"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 13:35:03 GMT 2025","Mon Feb 10 13:35:05 GMT 2025","1194","","","","","","Admin searches for a student account by Student Name",""
"passed","Mon Feb 10 13:35:16 GMT 2025","Mon Feb 10 13:35:18 GMT 2025","1680","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Mon Feb 10 13:35:13 GMT 2025","Mon Feb 10 13:35:15 GMT 2025","1678","","","","","","Fill in admin login with one correct user data",""
"passed","Mon Feb 10 13:35:09 GMT 2025","Mon Feb 10 13:35:11 GMT 2025","1426","","","","","","Admin deletes a student account",""
"passed","Mon Feb 10 13:34:47 GMT 2025","Mon Feb 10 13:34:52 GMT 2025","5383","","","","","","Admin lists all student accounts",""
"passed","Mon Feb 10 13:35:07 GMT 2025","Mon Feb 10 13:35:09 GMT 2025","2086","","","","","","Admin modifies a student account",""
"passed","Mon Feb 10 13:35:11 GMT 2025","Mon Feb 10 13:35:11 GMT 2025","516","","","","","","Check Login title",""
"broken","Mon Feb 10 13:34:52 GMT 2025","Mon Feb 10 13:35:03 GMT 2025","11257","","","","","","Admin searches for a student account by Student ID",""
"passed","Mon Feb 10 13:35:05 GMT 2025","Mon Feb 10 13:35:07 GMT 2025","2471","","","","","","Admin creates a new student account",""
"passed","Mon Feb 10 13:35:15 GMT 2025","Mon Feb 10 13:35:16 GMT 2025","1752","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Mon Feb 10 13:35:11 GMT 2025","Mon Feb 10 13:35:13 GMT 2025","1779","","","","","","Fill in student login with one incorrect userName data",""
