"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 10 15:57:22 GMT 2025","Mon Feb 10 15:57:23 GMT 2025","420","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"broken","Mon Feb 10 15:57:21 GMT 2025","Mon Feb 10 15:57:22 GMT 2025","426","","","","","","Fill in admin login with one correct user data",""
"broken","Mon Feb 10 15:57:21 GMT 2025","Mon Feb 10 15:57:21 GMT 2025","443","","","","","","Fill in student login with one incorrect userName data",""
"broken","Mon Feb 10 15:57:22 GMT 2025","Mon Feb 10 15:57:22 GMT 2025","466","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"broken","Mon Feb 10 15:57:20 GMT 2025","Mon Feb 10 15:57:20 GMT 2025","442","","","","","","Admin modifies a student account",""
"broken","Mon Feb 10 15:57:19 GMT 2025","Mon Feb 10 15:57:20 GMT 2025","444","","","","","","Admin creates a new student account",""
"broken","Mon Feb 10 15:57:18 GMT 2025","Mon Feb 10 15:57:19 GMT 2025","837","","","","","","Admin lists all student accounts",""
"broken","Mon Feb 10 15:57:20 GMT 2025","Mon Feb 10 15:57:21 GMT 2025","415","","","","","","Admin deletes a student account",""
"broken","Mon Feb 10 15:57:19 GMT 2025","Mon Feb 10 15:57:19 GMT 2025","446","","","","","","Admin searches for a student account by Student Name",""
"broken","Mon Feb 10 15:57:21 GMT 2025","Mon Feb 10 15:57:21 GMT 2025","421","","","","","","Check Login title",""
