"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 10 03:43:53 GMT 2025","Mon Feb 10 03:43:53 GMT 2025","151","","","","","","Admin creates a new student account",""
"failed","Mon Feb 10 03:41:42 GMT 2025","Mon Feb 10 03:41:43 GMT 2025","133","","","","","","Admin searches for a student account by Student ID",""
"broken","Mon Feb 10 03:41:41 GMT 2025","Mon Feb 10 03:41:42 GMT 2025","1004","","","","","","Admin lists all student accounts",""
"broken","Mon Feb 10 03:41:43 GMT 2025","Mon Feb 10 03:43:53 GMT 2025","130260","","","","","","Admin searches for a student account by Student Name",""
