"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 13:47:09 GMT 2025","Mon Feb 10 13:47:11 GMT 2025","2009","","","","","","Admin modifies a student account",""
"passed","Mon Feb 10 13:47:11 GMT 2025","Mon Feb 10 13:47:12 GMT 2025","1395","","","","","","Admin deletes a student account",""
"broken","Mon Feb 10 13:46:54 GMT 2025","Mon Feb 10 13:47:05 GMT 2025","11225","","","","","","Admin searches for a student account by Student ID",""
"passed","Mon Feb 10 13:47:06 GMT 2025","Mon Feb 10 13:47:09 GMT 2025","2364","","","","","","Admin creates a new student account",""
"passed","Mon Feb 10 13:47:05 GMT 2025","Mon Feb 10 13:47:06 GMT 2025","1168","","","","","","Admin searches for a student account by Student Name",""
"passed","Mon Feb 10 13:47:18 GMT 2025","Mon Feb 10 13:47:19 GMT 2025","1652","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Mon Feb 10 13:46:52 GMT 2025","Mon Feb 10 13:46:54 GMT 2025","1661","","","","","","Admin lists all student accounts",""
"passed","Mon Feb 10 13:47:16 GMT 2025","Mon Feb 10 13:47:18 GMT 2025","1667","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Mon Feb 10 13:47:12 GMT 2025","Mon Feb 10 13:47:13 GMT 2025","519","","","","","","Check Login title",""
"passed","Mon Feb 10 13:47:14 GMT 2025","Mon Feb 10 13:47:16 GMT 2025","1661","","","","","","Fill in admin login with one correct user data",""
"passed","Mon Feb 10 13:47:13 GMT 2025","Mon Feb 10 13:47:14 GMT 2025","1765","","","","","","Fill in student login with one incorrect userName data",""
