"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 10 01:26:26 GMT 2025","Mon Feb 10 01:26:26 GMT 2025","204","","","","","","Check Login title",""
"broken","Mon Feb 10 01:26:26 GMT 2025","Mon Feb 10 01:26:27 GMT 2025","202","","","","","","Fill in admin login with one correct user data",""
"broken","Mon Feb 10 01:26:26 GMT 2025","Mon Feb 10 01:26:26 GMT 2025","258","","","","","","Fill in student login with one incorrect userName data",""
"broken","Mon Feb 10 01:26:26 GMT 2025","Mon Feb 10 01:26:26 GMT 2025","205","","","","","","Admin deletes a student account",""
"broken","Mon Feb 10 01:26:25 GMT 2025","Mon Feb 10 01:26:25 GMT 2025","204","","","","","","Admin searches for a student account by Student Name",""
"broken","Mon Feb 10 01:26:27 GMT 2025","Mon Feb 10 01:26:27 GMT 2025","202","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"broken","Mon Feb 10 01:26:24 GMT 2025","Mon Feb 10 01:26:25 GMT 2025","494","","","","","","Admin lists all student accounts",""
"broken","Mon Feb 10 01:26:26 GMT 2025","Mon Feb 10 01:26:26 GMT 2025","208","","","","","","Admin modifies a student account",""
"broken","Mon Feb 10 01:26:25 GMT 2025","Mon Feb 10 01:26:26 GMT 2025","207","","","","","","Admin creates a new student account",""
"broken","Mon Feb 10 01:26:27 GMT 2025","Mon Feb 10 01:26:27 GMT 2025","203","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"broken","Mon Feb 10 01:26:25 GMT 2025","Mon Feb 10 01:26:25 GMT 2025","203","","","","","","Admin searches for a student account by Student ID",""
