"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 11 02:46:40 GMT 2025","Tue Feb 11 02:46:42 GMT 2025","1702","","","","","","Fill in admin login with one correct user data",""
"passed","Tue Feb 11 02:46:32 GMT 2025","Tue Feb 11 02:46:34 GMT 2025","2352","","","","","","Admin creates a new student account",""
"passed","Tue Feb 11 02:46:42 GMT 2025","Tue Feb 11 02:46:44 GMT 2025","1727","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Tue Feb 11 02:46:44 GMT 2025","Tue Feb 11 02:46:45 GMT 2025","1689","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Tue Feb 11 02:46:34 GMT 2025","Tue Feb 11 02:46:36 GMT 2025","2181","","","","","","Admin modifies a student account",""
"passed","Tue Feb 11 02:46:38 GMT 2025","Tue Feb 11 02:46:38 GMT 2025","496","","","","","","Check Login title",""
"passed","Tue Feb 11 02:46:38 GMT 2025","Tue Feb 11 02:46:40 GMT 2025","1693","","","","","","Fill in student login with one incorrect userName data",""
"passed","Tue Feb 11 02:46:36 GMT 2025","Tue Feb 11 02:46:38 GMT 2025","1430","","","","","","Admin deletes a student account",""
"passed","Tue Feb 11 02:46:21 GMT 2025","Tue Feb 11 02:46:32 GMT 2025","11197","","","","","","Admin searches for a student account by Student Name",""
"passed","Tue Feb 11 02:46:19 GMT 2025","Tue Feb 11 02:46:21 GMT 2025","1610","","","","","","Admin lists all student accounts",""
