"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 11 03:34:33 GMT 2025","Tue Feb 11 03:34:35 GMT 2025","1722","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Tue Feb 11 03:34:29 GMT 2025","Tue Feb 11 03:34:30 GMT 2025","494","","","","","","Check Login title",""
"passed","Tue Feb 11 03:34:28 GMT 2025","Tue Feb 11 03:34:29 GMT 2025","1431","","","","","","Admin deletes a student account",""
"passed","Tue Feb 11 03:34:23 GMT 2025","Tue Feb 11 03:34:26 GMT 2025","2257","","","","","","Admin creates a new student account",""
"passed","Tue Feb 11 03:34:35 GMT 2025","Tue Feb 11 03:34:36 GMT 2025","1664","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Tue Feb 11 03:34:31 GMT 2025","Tue Feb 11 03:34:33 GMT 2025","1656","","","","","","Fill in admin login with one correct user data",""
"passed","Tue Feb 11 03:34:00 GMT 2025","Tue Feb 11 03:34:12 GMT 2025","12377","","","","","","Admin lists all student accounts",""
"passed","Tue Feb 11 03:34:30 GMT 2025","Tue Feb 11 03:34:31 GMT 2025","1700","","","","","","Fill in student login with one incorrect userName data",""
"passed","Tue Feb 11 03:34:12 GMT 2025","Tue Feb 11 03:34:23 GMT 2025","11221","","","","","","Admin searches for a student account by Student Name",""
"passed","Tue Feb 11 03:34:26 GMT 2025","Tue Feb 11 03:34:28 GMT 2025","2175","","","","","","Admin modifies a student account",""
