"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 15:10:44 GMT 2025","Mon Feb 10 15:10:46 GMT 2025","2158","","","","","","Fill in student login with one incorrect userName data",""
"broken","Mon Feb 10 15:10:42 GMT 2025","Mon Feb 10 15:10:43 GMT 2025","504","","","","","","Admin creates a new student account",""
"broken","Mon Feb 10 15:10:42 GMT 2025","Mon Feb 10 15:10:42 GMT 2025","498","","","","","","Admin searches for a student account by Student Name",""
"broken","Mon Feb 10 15:10:43 GMT 2025","Mon Feb 10 15:10:44 GMT 2025","500","","","","","","Admin deletes a student account",""
"passed","Mon Feb 10 15:10:46 GMT 2025","Mon Feb 10 15:10:48 GMT 2025","1679","","","","","","Fill in admin login with one correct user data",""
"passed","Mon Feb 10 15:10:48 GMT 2025","Mon Feb 10 15:10:50 GMT 2025","1687","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Mon Feb 10 15:10:50 GMT 2025","Mon Feb 10 15:10:51 GMT 2025","1709","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"broken","Mon Feb 10 15:10:41 GMT 2025","Mon Feb 10 15:10:42 GMT 2025","489","","","","","","Admin searches for a student account by Student ID",""
"passed","Mon Feb 10 15:10:44 GMT 2025","Mon Feb 10 15:10:44 GMT 2025","505","","","","","","Check Login title",""
"broken","Mon Feb 10 15:10:31 GMT 2025","Mon Feb 10 15:10:41 GMT 2025","9911","","","","","","Admin lists all student accounts",""
"broken","Mon Feb 10 15:10:43 GMT 2025","Mon Feb 10 15:10:43 GMT 2025","489","","","","","","Admin modifies a student account",""
