"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 10 03:26:34 GMT 2025","Mon Feb 10 03:26:34 GMT 2025","0","","","","","","Fill in student login with one incorrect userName data",""
"broken","Mon Feb 10 03:26:34 GMT 2025","Mon Feb 10 03:26:34 GMT 2025","1","","","","","","Fill in admin login with one correct user data",""
"broken","Mon Feb 10 03:26:34 GMT 2025","Mon Feb 10 03:26:34 GMT 2025","1","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"broken","Mon Feb 10 03:26:34 GMT 2025","Mon Feb 10 03:26:34 GMT 2025","1","","","","","","Admin modifies a student account",""
"broken","Mon Feb 10 03:26:34 GMT 2025","Mon Feb 10 03:26:34 GMT 2025","1","","","","","","Admin deletes a student account",""
"broken","Mon Feb 10 03:26:34 GMT 2025","Mon Feb 10 03:26:34 GMT 2025","1","","","","","","Admin searches for a student account by Student Name",""
"broken","Mon Feb 10 03:26:34 GMT 2025","Mon Feb 10 03:26:34 GMT 2025","1","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"broken","Mon Feb 10 03:26:34 GMT 2025","Mon Feb 10 03:26:34 GMT 2025","1","","","","","","Admin searches for a student account by Student ID",""
"broken","Mon Feb 10 03:26:34 GMT 2025","Mon Feb 10 03:26:34 GMT 2025","0","","","","","","Check Login title",""
"broken","Mon Feb 10 03:26:34 GMT 2025","Mon Feb 10 03:26:34 GMT 2025","1","","","","","","Admin creates a new student account",""
"broken","Mon Feb 10 03:26:34 GMT 2025","Mon Feb 10 03:26:34 GMT 2025","1","","","","","","Admin lists all student accounts",""
