"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 14:09:51 GMT 2025","Mon Feb 10 14:09:53 GMT 2025","1812","","","","","","Fill in student login with one incorrect userName data",""
"passed","Mon Feb 10 14:09:53 GMT 2025","Mon Feb 10 14:09:55 GMT 2025","1668","","","","","","Fill in admin login with one correct user data",""
"passed","Mon Feb 10 14:09:51 GMT 2025","Mon Feb 10 14:09:51 GMT 2025","501","","","","","","Check Login title",""
"passed","Mon Feb 10 14:09:56 GMT 2025","Mon Feb 10 14:09:58 GMT 2025","1679","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Mon Feb 10 14:09:47 GMT 2025","Mon Feb 10 14:09:49 GMT 2025","2065","","","","","","Admin modifies a student account",""
"passed","Mon Feb 10 14:09:44 GMT 2025","Mon Feb 10 14:09:45 GMT 2025","1184","","","","","","Admin searches for a student account by Student Name",""
"passed","Mon Feb 10 14:09:49 GMT 2025","Mon Feb 10 14:09:51 GMT 2025","1489","","","","","","Admin deletes a student account",""
"broken","Mon Feb 10 14:09:02 GMT 2025","Mon Feb 10 14:09:44 GMT 2025","41727","","","","","","Admin searches for a student account by Student ID",""
"passed","Mon Feb 10 14:08:38 GMT 2025","Mon Feb 10 14:09:02 GMT 2025","24149","","","","","","Admin lists all student accounts",""
"passed","Mon Feb 10 14:09:45 GMT 2025","Mon Feb 10 14:09:47 GMT 2025","2517","","","","","","Admin creates a new student account",""
"passed","Mon Feb 10 14:09:55 GMT 2025","Mon Feb 10 14:09:56 GMT 2025","1739","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
