"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Feb 11 05:53:57 GMT 2025","Tue Feb 11 05:53:57 GMT 2025","462","","","","","","Admin deletes a student account",""
"broken","Tue Feb 11 05:53:56 GMT 2025","Tue Feb 11 05:53:57 GMT 2025","411","","","","","","Admin creates a new student account",""
"broken","Tue Feb 11 05:53:56 GMT 2025","Tue Feb 11 05:53:56 GMT 2025","428","","","","","","Admin searches for a student account by Student Name",""
"broken","Tue Feb 11 05:53:58 GMT 2025","Tue Feb 11 05:53:59 GMT 2025","436","","","","","","Fill in admin login with one correct user data",""
"broken","Tue Feb 11 05:53:55 GMT 2025","Tue Feb 11 05:53:56 GMT 2025","821","","","","","","Admin lists all student accounts",""
"broken","Tue Feb 11 05:53:59 GMT 2025","Tue Feb 11 05:54:00 GMT 2025","425","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"broken","Tue Feb 11 05:53:57 GMT 2025","Tue Feb 11 05:53:57 GMT 2025","409","","","","","","Admin modifies a student account",""
"broken","Tue Feb 11 05:53:58 GMT 2025","Tue Feb 11 05:53:58 GMT 2025","447","","","","","","Fill in student login with one incorrect userName data",""
"broken","Tue Feb 11 05:53:57 GMT 2025","Tue Feb 11 05:53:58 GMT 2025","418","","","","","","Check Login title",""
"broken","Tue Feb 11 05:53:59 GMT 2025","Tue Feb 11 05:53:59 GMT 2025","417","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
