"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 15:59:08 GMT 2025","Mon Feb 10 15:59:10 GMT 2025","2081","","","","","","Admin creates a new student account",""
"passed","Mon Feb 10 15:58:57 GMT 2025","Mon Feb 10 15:59:08 GMT 2025","11192","","","","","","Admin searches for a student account by Student Name",""
"passed","Mon Feb 10 15:58:48 GMT 2025","Mon Feb 10 15:58:57 GMT 2025","8612","","","","","","Admin lists all student accounts",""
"passed","Mon Feb 10 15:59:10 GMT 2025","Mon Feb 10 15:59:12 GMT 2025","2147","","","","","","Admin modifies a student account",""
"passed","Mon Feb 10 15:59:19 GMT 2025","Mon Feb 10 15:59:21 GMT 2025","1671","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Mon Feb 10 15:59:12 GMT 2025","Mon Feb 10 15:59:13 GMT 2025","1447","","","","","","Admin deletes a student account",""
"passed","Mon Feb 10 15:59:16 GMT 2025","Mon Feb 10 15:59:17 GMT 2025","1662","","","","","","Fill in admin login with one correct user data",""
"passed","Mon Feb 10 15:59:13 GMT 2025","Mon Feb 10 15:59:14 GMT 2025","479","","","","","","Check Login title",""
"passed","Mon Feb 10 15:59:14 GMT 2025","Mon Feb 10 15:59:16 GMT 2025","1674","","","","","","Fill in student login with one incorrect userName data",""
"passed","Mon Feb 10 15:59:17 GMT 2025","Mon Feb 10 15:59:19 GMT 2025","1721","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
