"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 15:40:39 GMT 2025","Mon Feb 10 15:40:42 GMT 2025","2291","","","","","","Admin creates a new student account",""
"passed","Mon Feb 10 15:40:28 GMT 2025","Mon Feb 10 15:40:39 GMT 2025","11181","","","","","","Admin searches for a student account by Student Name",""
"passed","Mon Feb 10 15:40:42 GMT 2025","Mon Feb 10 15:40:44 GMT 2025","2134","","","","","","Admin modifies a student account",""
"passed","Mon Feb 10 15:40:49 GMT 2025","Mon Feb 10 15:40:51 GMT 2025","1700","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Mon Feb 10 15:40:47 GMT 2025","Mon Feb 10 15:40:49 GMT 2025","1670","","","","","","Fill in admin login with one correct user data",""
"passed","Mon Feb 10 15:40:45 GMT 2025","Mon Feb 10 15:40:46 GMT 2025","503","","","","","","Check Login title",""
"passed","Mon Feb 10 15:40:27 GMT 2025","Mon Feb 10 15:40:28 GMT 2025","1413","","","","","","Admin lists all student accounts",""
"passed","Mon Feb 10 15:40:46 GMT 2025","Mon Feb 10 15:40:47 GMT 2025","1706","","","","","","Fill in student login with one incorrect userName data",""
"passed","Mon Feb 10 15:40:51 GMT 2025","Mon Feb 10 15:40:52 GMT 2025","1668","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Mon Feb 10 15:40:44 GMT 2025","Mon Feb 10 15:40:45 GMT 2025","1414","","","","","","Admin deletes a student account",""
