"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 11 00:59:12 GMT 2025","Tue Feb 11 00:59:14 GMT 2025","1467","","","","","","Admin lists all student accounts",""
"passed","Tue Feb 11 00:59:30 GMT 2025","Tue Feb 11 00:59:31 GMT 2025","1369","","","","","","Admin deletes a student account",""
"passed","Tue Feb 11 00:59:35 GMT 2025","Tue Feb 11 00:59:36 GMT 2025","1696","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Tue Feb 11 00:59:31 GMT 2025","Tue Feb 11 00:59:31 GMT 2025","473","","","","","","Check Login title",""
"passed","Tue Feb 11 00:59:31 GMT 2025","Tue Feb 11 00:59:33 GMT 2025","1699","","","","","","Fill in student login with one incorrect userName data",""
"passed","Tue Feb 11 00:59:25 GMT 2025","Tue Feb 11 00:59:27 GMT 2025","2259","","","","","","Admin creates a new student account",""
"passed","Tue Feb 11 00:59:36 GMT 2025","Tue Feb 11 00:59:38 GMT 2025","1649","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Tue Feb 11 00:59:27 GMT 2025","Tue Feb 11 00:59:30 GMT 2025","2129","","","","","","Admin modifies a student account",""
"passed","Tue Feb 11 00:59:14 GMT 2025","Tue Feb 11 00:59:25 GMT 2025","11171","","","","","","Admin searches for a student account by Student Name",""
"passed","Tue Feb 11 00:59:33 GMT 2025","Tue Feb 11 00:59:35 GMT 2025","1646","","","","","","Fill in admin login with one correct user data",""
