"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 11 02:56:23 GMT 2025","Tue Feb 11 02:56:24 GMT 2025","491","","","","","","Check Login title",""
"passed","Tue Feb 11 02:56:22 GMT 2025","Tue Feb 11 02:56:23 GMT 2025","1407","","","","","","Admin deletes a student account",""
"passed","Tue Feb 11 02:56:19 GMT 2025","Tue Feb 11 02:56:22 GMT 2025","2147","","","","","","Admin modifies a student account",""
"passed","Tue Feb 11 02:56:27 GMT 2025","Tue Feb 11 02:56:29 GMT 2025","1694","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Tue Feb 11 02:56:06 GMT 2025","Tue Feb 11 02:56:18 GMT 2025","11172","","","","","","Admin searches for a student account by Student Name",""
"passed","Tue Feb 11 02:56:25 GMT 2025","Tue Feb 11 02:56:27 GMT 2025","1656","","","","","","Fill in admin login with one correct user data",""
"passed","Tue Feb 11 02:56:18 GMT 2025","Tue Feb 11 02:56:19 GMT 2025","1912","","","","","","Admin creates a new student account",""
"passed","Tue Feb 11 02:56:29 GMT 2025","Tue Feb 11 02:56:30 GMT 2025","1636","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Tue Feb 11 02:56:24 GMT 2025","Tue Feb 11 02:56:25 GMT 2025","1670","","","","","","Fill in student login with one incorrect userName data",""
"passed","Tue Feb 11 02:56:05 GMT 2025","Tue Feb 11 02:56:06 GMT 2025","1874","","","","","","Admin lists all student accounts",""
