"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 10 09:27:42 GMT 2025","Mon Feb 10 09:27:43 GMT 2025","1637","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Mon Feb 10 09:27:28 GMT 2025","Mon Feb 10 09:27:30 GMT 2025","1594","","","","","","Admin lists all student accounts",""
"passed","Mon Feb 10 09:27:34 GMT 2025","Mon Feb 10 09:27:36 GMT 2025","2013","","","","","","Admin modifies a student account",""
"passed","Mon Feb 10 09:27:31 GMT 2025","Mon Feb 10 09:27:32 GMT 2025","1157","","","","","","Admin searches for a student account by Student Name",""
"failed","Mon Feb 10 09:27:30 GMT 2025","Mon Feb 10 09:27:31 GMT 2025","1159","","","","","","Admin searches for a student account by Student ID",""
"passed","Mon Feb 10 09:27:38 GMT 2025","Mon Feb 10 09:27:40 GMT 2025","1827","","","","","","Fill in student login with one incorrect userName data",""
"passed","Mon Feb 10 09:27:32 GMT 2025","Mon Feb 10 09:27:34 GMT 2025","2328","","","","","","Admin creates a new student account",""
"passed","Mon Feb 10 09:27:36 GMT 2025","Mon Feb 10 09:27:38 GMT 2025","1383","","","","","","Admin deletes a student account",""
"passed","Mon Feb 10 09:27:38 GMT 2025","Mon Feb 10 09:27:38 GMT 2025","499","","","","","","Check Login title",""
"passed","Mon Feb 10 09:27:40 GMT 2025","Mon Feb 10 09:27:42 GMT 2025","1721","","","","","","Fill in admin login with one correct user data",""
"passed","Mon Feb 10 09:27:43 GMT 2025","Mon Feb 10 09:27:45 GMT 2025","1681","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
