"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 10 03:39:06 GMT 2025","Mon Feb 10 03:39:06 GMT 2025","204","","","","","","Admin modifies a student account",""
"broken","Mon Feb 10 03:39:06 GMT 2025","Mon Feb 10 03:39:06 GMT 2025","206","","","","","","Admin deletes a student account",""
"broken","Mon Feb 10 03:39:07 GMT 2025","Mon Feb 10 03:39:07 GMT 2025","204","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"broken","Mon Feb 10 03:39:07 GMT 2025","Mon Feb 10 03:39:07 GMT 2025","203","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"broken","Mon Feb 10 03:39:05 GMT 2025","Mon Feb 10 03:39:06 GMT 2025","261","","","","","","Admin searches for a student account by Student Name",""
"broken","Mon Feb 10 03:39:06 GMT 2025","Mon Feb 10 03:39:07 GMT 2025","203","","","","","","Fill in student login with one incorrect userName data",""
"broken","Mon Feb 10 03:39:05 GMT 2025","Mon Feb 10 03:39:05 GMT 2025","203","","","","","","Admin searches for a student account by Student ID",""
"broken","Mon Feb 10 03:39:06 GMT 2025","Mon Feb 10 03:39:06 GMT 2025","203","","","","","","Admin creates a new student account",""
"broken","Mon Feb 10 03:39:03 GMT 2025","Mon Feb 10 03:39:05 GMT 2025","2089","","","","","","Admin lists all student accounts",""
"broken","Mon Feb 10 03:39:06 GMT 2025","Mon Feb 10 03:39:06 GMT 2025","256","","","","","","Check Login title",""
"broken","Mon Feb 10 03:39:07 GMT 2025","Mon Feb 10 03:39:07 GMT 2025","204","","","","","","Fill in admin login with one correct user data",""
