"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 11 02:46:30 GMT 2025","Tue Feb 11 02:46:31 GMT 2025","1502","","","","","","Admin lists all student accounts",""
"passed","Tue Feb 11 02:46:48 GMT 2025","Tue Feb 11 02:46:49 GMT 2025","495","","","","","","Check Login title",""
"passed","Tue Feb 11 02:46:31 GMT 2025","Tue Feb 11 02:46:42 GMT 2025","11176","","","","","","Admin searches for a student account by Student Name",""
"passed","Tue Feb 11 02:46:47 GMT 2025","Tue Feb 11 02:46:48 GMT 2025","1381","","","","","","Admin deletes a student account",""
"passed","Tue Feb 11 02:46:52 GMT 2025","Tue Feb 11 02:46:54 GMT 2025","1697","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Tue Feb 11 02:46:50 GMT 2025","Tue Feb 11 02:46:52 GMT 2025","1652","","","","","","Fill in admin login with one correct user data",""
"passed","Tue Feb 11 02:46:45 GMT 2025","Tue Feb 11 02:46:47 GMT 2025","2142","","","","","","Admin modifies a student account",""
"passed","Tue Feb 11 02:46:49 GMT 2025","Tue Feb 11 02:46:50 GMT 2025","1708","","","","","","Fill in student login with one incorrect userName data",""
"passed","Tue Feb 11 02:46:42 GMT 2025","Tue Feb 11 02:46:45 GMT 2025","2282","","","","","","Admin creates a new student account",""
"passed","Tue Feb 11 02:46:54 GMT 2025","Tue Feb 11 02:46:55 GMT 2025","1666","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
