"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 15:17:07 GMT 2025","Mon Feb 10 15:17:07 GMT 2025","493","","","","","","Check Login title",""
"passed","Mon Feb 10 15:17:09 GMT 2025","Mon Feb 10 15:17:11 GMT 2025","1684","","","","","","Fill in admin login with one correct user data",""
"passed","Mon Feb 10 15:17:01 GMT 2025","Mon Feb 10 15:17:03 GMT 2025","2443","","","","","","Admin creates a new student account",""
"passed","Mon Feb 10 15:17:07 GMT 2025","Mon Feb 10 15:17:09 GMT 2025","1788","","","","","","Fill in student login with one incorrect userName data",""
"passed","Mon Feb 10 15:17:11 GMT 2025","Mon Feb 10 15:17:12 GMT 2025","1724","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"broken","Mon Feb 10 15:15:58 GMT 2025","Mon Feb 10 15:16:50 GMT 2025","51606","","","","","","Admin searches for a student account by Student ID",""
"passed","Mon Feb 10 15:16:50 GMT 2025","Mon Feb 10 15:17:01 GMT 2025","11191","","","","","","Admin searches for a student account by Student Name",""
"passed","Mon Feb 10 15:15:57 GMT 2025","Mon Feb 10 15:15:58 GMT 2025","1411","","","","","","Admin lists all student accounts",""
"passed","Mon Feb 10 15:17:03 GMT 2025","Mon Feb 10 15:17:05 GMT 2025","2073","","","","","","Admin modifies a student account",""
"passed","Mon Feb 10 15:17:12 GMT 2025","Mon Feb 10 15:17:14 GMT 2025","1676","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Mon Feb 10 15:17:05 GMT 2025","Mon Feb 10 15:17:07 GMT 2025","1416","","","","","","Admin deletes a student account",""
