"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 11 05:51:05 GMT 2025","Tue Feb 11 05:51:07 GMT 2025","1433","","","","","","Admin deletes a student account",""
"passed","Tue Feb 11 05:51:07 GMT 2025","Tue Feb 11 05:51:09 GMT 2025","1662","","","","","","Fill in student login with one incorrect userName data",""
"passed","Tue Feb 11 05:51:07 GMT 2025","Tue Feb 11 05:51:07 GMT 2025","482","","","","","","Check Login title",""
"passed","Tue Feb 11 05:51:12 GMT 2025","Tue Feb 11 05:51:14 GMT 2025","1679","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Tue Feb 11 05:51:11 GMT 2025","Tue Feb 11 05:51:12 GMT 2025","1708","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Tue Feb 11 05:51:03 GMT 2025","Tue Feb 11 05:51:05 GMT 2025","2136","","","","","","Admin modifies a student account",""
"passed","Tue Feb 11 05:51:01 GMT 2025","Tue Feb 11 05:51:03 GMT 2025","2138","","","","","","Admin creates a new student account",""
"passed","Tue Feb 11 05:51:09 GMT 2025","Tue Feb 11 05:51:11 GMT 2025","1658","","","","","","Fill in admin login with one correct user data",""
"passed","Tue Feb 11 05:50:37 GMT 2025","Tue Feb 11 05:50:47 GMT 2025","10149","","","","","","Admin lists all student accounts",""
"passed","Tue Feb 11 05:50:47 GMT 2025","Tue Feb 11 05:51:01 GMT 2025","13729","","","","","","Admin searches for a student account by Student Name",""
