"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 11 00:47:16 GMT 2025","Tue Feb 11 00:47:16 GMT 2025","503","","","","","","Check Login title",""
"passed","Tue Feb 11 00:46:57 GMT 2025","Tue Feb 11 00:46:59 GMT 2025","1465","","","","","","Admin lists all student accounts",""
"passed","Tue Feb 11 00:47:18 GMT 2025","Tue Feb 11 00:47:19 GMT 2025","1666","","","","","","Fill in admin login with one correct user data",""
"passed","Tue Feb 11 00:46:59 GMT 2025","Tue Feb 11 00:47:10 GMT 2025","11185","","","","","","Admin searches for a student account by Student Name",""
"passed","Tue Feb 11 00:47:14 GMT 2025","Tue Feb 11 00:47:16 GMT 2025","1387","","","","","","Admin deletes a student account",""
"passed","Tue Feb 11 00:47:19 GMT 2025","Tue Feb 11 00:47:21 GMT 2025","1693","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Tue Feb 11 00:47:21 GMT 2025","Tue Feb 11 00:47:23 GMT 2025","1655","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Tue Feb 11 00:47:10 GMT 2025","Tue Feb 11 00:47:12 GMT 2025","2259","","","","","","Admin creates a new student account",""
"passed","Tue Feb 11 00:47:16 GMT 2025","Tue Feb 11 00:47:18 GMT 2025","1677","","","","","","Fill in student login with one incorrect userName data",""
"passed","Tue Feb 11 00:47:12 GMT 2025","Tue Feb 11 00:47:14 GMT 2025","2139","","","","","","Admin modifies a student account",""
