"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 12 09:44:42 GMT 2025","Wed Feb 12 09:44:44 GMT 2025","2145","","","","","","Admin modifies a student account",""
"passed","Wed Feb 12 09:44:51 GMT 2025","Wed Feb 12 09:44:53 GMT 2025","1655","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Wed Feb 12 09:44:46 GMT 2025","Wed Feb 12 09:44:48 GMT 2025","1671","","","","","","Fill in student login with one incorrect userName data",""
"passed","Wed Feb 12 09:44:40 GMT 2025","Wed Feb 12 09:44:42 GMT 2025","2279","","","","","","Admin creates a new student account",""
"passed","Wed Feb 12 09:44:48 GMT 2025","Wed Feb 12 09:44:49 GMT 2025","1653","","","","","","Fill in admin login with one correct user data",""
"passed","Wed Feb 12 09:44:46 GMT 2025","Wed Feb 12 09:44:46 GMT 2025","490","","","","","","Check Login title",""
"passed","Wed Feb 12 09:44:27 GMT 2025","Wed Feb 12 09:44:28 GMT 2025","1427","","","","","","Admin lists all student accounts",""
"passed","Wed Feb 12 09:44:49 GMT 2025","Wed Feb 12 09:44:51 GMT 2025","1708","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Wed Feb 12 09:44:28 GMT 2025","Wed Feb 12 09:44:40 GMT 2025","11240","","","","","","Admin searches for a student account by Student Name",""
"passed","Wed Feb 12 09:44:44 GMT 2025","Wed Feb 12 09:44:46 GMT 2025","1408","","","","","","Admin deletes a student account",""
