"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 10 09:08:03 GMT 2025","Mon Feb 10 09:08:03 GMT 2025","438","","","","","","Admin lists all student accounts",""
"broken","Mon Feb 10 09:08:04 GMT 2025","Mon Feb 10 09:08:04 GMT 2025","205","","","","","","Admin searches for a student account by Student Name",""
"broken","Mon Feb 10 09:08:04 GMT 2025","Mon Feb 10 09:08:04 GMT 2025","206","","","","","","Admin creates a new student account",""
"broken","Mon Feb 10 09:08:05 GMT 2025","Mon Feb 10 09:08:05 GMT 2025","207","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"broken","Mon Feb 10 09:08:04 GMT 2025","Mon Feb 10 09:08:04 GMT 2025","205","","","","","","Admin modifies a student account",""
"broken","Mon Feb 10 09:08:03 GMT 2025","Mon Feb 10 09:08:04 GMT 2025","206","","","","","","Admin searches for a student account by Student ID",""
"broken","Mon Feb 10 09:08:04 GMT 2025","Mon Feb 10 09:08:04 GMT 2025","204","","","","","","Admin deletes a student account",""
"broken","Mon Feb 10 09:08:05 GMT 2025","Mon Feb 10 09:08:06 GMT 2025","208","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"broken","Mon Feb 10 09:08:05 GMT 2025","Mon Feb 10 09:08:05 GMT 2025","259","","","","","","Fill in admin login with one correct user data",""
"broken","Mon Feb 10 09:08:05 GMT 2025","Mon Feb 10 09:08:05 GMT 2025","206","","","","","","Fill in student login with one incorrect userName data",""
"broken","Mon Feb 10 09:08:04 GMT 2025","Mon Feb 10 09:08:05 GMT 2025","204","","","","","","Check Login title",""
