"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 10 00:30:03 GMT 2025","Mon Feb 10 00:30:03 GMT 2025","260","","","","","","Admin searches for a student account by Student Name",""
"broken","Mon Feb 10 00:30:04 GMT 2025","Mon Feb 10 00:30:04 GMT 2025","207","","","","","","Fill in admin login with one correct user data",""
"broken","Mon Feb 10 00:30:02 GMT 2025","Mon Feb 10 00:30:03 GMT 2025","261","","","","","","Admin searches for a student account by Student ID",""
"broken","Mon Feb 10 00:30:00 GMT 2025","Mon Feb 10 00:30:02 GMT 2025","2546","","","","","","Admin lists all student accounts",""
"broken","Mon Feb 10 00:30:03 GMT 2025","Mon Feb 10 00:30:03 GMT 2025","262","","","","","","Admin modifies a student account",""
"broken","Mon Feb 10 00:30:04 GMT 2025","Mon Feb 10 00:30:04 GMT 2025","208","","","","","","Fill in student login with one incorrect userName data",""
"broken","Mon Feb 10 00:30:03 GMT 2025","Mon Feb 10 00:30:03 GMT 2025","261","","","","","","Admin creates a new student account",""
"broken","Mon Feb 10 00:30:04 GMT 2025","Mon Feb 10 00:30:05 GMT 2025","208","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"broken","Mon Feb 10 00:30:05 GMT 2025","Mon Feb 10 00:30:05 GMT 2025","261","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"broken","Mon Feb 10 00:30:03 GMT 2025","Mon Feb 10 00:30:04 GMT 2025","261","","","","","","Admin deletes a student account",""
"broken","Mon Feb 10 00:30:04 GMT 2025","Mon Feb 10 00:30:04 GMT 2025","261","","","","","","Check Login title",""
