"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 11 00:43:55 GMT 2025","Tue Feb 11 00:43:57 GMT 2025","2128","","","","","","Admin modifies a student account",""
"passed","Tue Feb 11 00:43:59 GMT 2025","Tue Feb 11 00:44:01 GMT 2025","1672","","","","","","Fill in student login with one incorrect userName data",""
"passed","Tue Feb 11 00:43:40 GMT 2025","Tue Feb 11 00:43:42 GMT 2025","1431","","","","","","Admin lists all student accounts",""
"passed","Tue Feb 11 00:44:01 GMT 2025","Tue Feb 11 00:44:02 GMT 2025","1652","","","","","","Fill in admin login with one correct user data",""
"passed","Tue Feb 11 00:43:53 GMT 2025","Tue Feb 11 00:43:55 GMT 2025","2266","","","","","","Admin creates a new student account",""
"passed","Tue Feb 11 00:44:02 GMT 2025","Tue Feb 11 00:44:04 GMT 2025","1695","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Tue Feb 11 00:43:42 GMT 2025","Tue Feb 11 00:43:53 GMT 2025","11153","","","","","","Admin searches for a student account by Student Name",""
"passed","Tue Feb 11 00:43:57 GMT 2025","Tue Feb 11 00:43:59 GMT 2025","1368","","","","","","Admin deletes a student account",""
"passed","Tue Feb 11 00:43:59 GMT 2025","Tue Feb 11 00:43:59 GMT 2025","486","","","","","","Check Login title",""
"passed","Tue Feb 11 00:44:04 GMT 2025","Tue Feb 11 00:44:06 GMT 2025","1646","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
