"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 09:18:48 GMT 2025","Mon Feb 10 09:18:50 GMT 2025","2012","","","","","","Admin modifies a student account",""
"passed","Mon Feb 10 09:18:42 GMT 2025","Mon Feb 10 09:18:43 GMT 2025","1542","","","","","","Admin lists all student accounts",""
"passed","Mon Feb 10 09:18:52 GMT 2025","Mon Feb 10 09:18:54 GMT 2025","1856","","","","","","Fill in student login with one incorrect userName data",""
"passed","Mon Feb 10 09:18:46 GMT 2025","Mon Feb 10 09:18:48 GMT 2025","2425","","","","","","Admin creates a new student account",""
"failed","Mon Feb 10 09:18:43 GMT 2025","Mon Feb 10 09:18:45 GMT 2025","1146","","","","","","Admin searches for a student account by Student ID",""
"passed","Mon Feb 10 09:18:52 GMT 2025","Mon Feb 10 09:18:52 GMT 2025","484","","","","","","Check Login title",""
"passed","Mon Feb 10 09:18:54 GMT 2025","Mon Feb 10 09:18:56 GMT 2025","1696","","","","","","Fill in admin login with one correct user data",""
"passed","Mon Feb 10 09:18:45 GMT 2025","Mon Feb 10 09:18:46 GMT 2025","1155","","","","","","Admin searches for a student account by Student Name",""
"passed","Mon Feb 10 09:18:57 GMT 2025","Mon Feb 10 09:18:59 GMT 2025","1662","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Mon Feb 10 09:18:50 GMT 2025","Mon Feb 10 09:18:52 GMT 2025","1394","","","","","","Admin deletes a student account",""
"broken","Mon Feb 10 09:18:56 GMT 2025","Mon Feb 10 09:18:57 GMT 2025","1664","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
