"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 11 05:46:58 GMT 2025","Tue Feb 11 05:47:00 GMT 2025","1401","","","","","","Admin deletes a student account",""
"passed","Tue Feb 11 05:47:05 GMT 2025","Tue Feb 11 05:47:07 GMT 2025","1673","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Tue Feb 11 05:46:43 GMT 2025","Tue Feb 11 05:46:54 GMT 2025","11170","","","","","","Admin searches for a student account by Student Name",""
"passed","Tue Feb 11 05:47:00 GMT 2025","Tue Feb 11 05:47:00 GMT 2025","489","","","","","","Check Login title",""
"passed","Tue Feb 11 05:47:04 GMT 2025","Tue Feb 11 05:47:05 GMT 2025","1722","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Tue Feb 11 05:47:00 GMT 2025","Tue Feb 11 05:47:02 GMT 2025","1673","","","","","","Fill in student login with one incorrect userName data",""
"passed","Tue Feb 11 05:47:02 GMT 2025","Tue Feb 11 05:47:04 GMT 2025","1669","","","","","","Fill in admin login with one correct user data",""
"passed","Tue Feb 11 05:46:54 GMT 2025","Tue Feb 11 05:46:56 GMT 2025","2270","","","","","","Admin creates a new student account",""
"passed","Tue Feb 11 05:46:41 GMT 2025","Tue Feb 11 05:46:43 GMT 2025","1519","","","","","","Admin lists all student accounts",""
"passed","Tue Feb 11 05:46:56 GMT 2025","Tue Feb 11 05:46:58 GMT 2025","2151","","","","","","Admin modifies a student account",""
