"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 11 02:39:21 GMT 2025","Tue Feb 11 02:39:23 GMT 2025","1689","","","","","","Fill in student login with one incorrect userName data",""
"passed","Tue Feb 11 02:39:17 GMT 2025","Tue Feb 11 02:39:19 GMT 2025","2150","","","","","","Admin modifies a student account",""
"passed","Tue Feb 11 02:39:25 GMT 2025","Tue Feb 11 02:39:26 GMT 2025","1726","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Tue Feb 11 02:39:19 GMT 2025","Tue Feb 11 02:39:21 GMT 2025","1397","","","","","","Admin deletes a student account",""
"passed","Tue Feb 11 02:39:26 GMT 2025","Tue Feb 11 02:39:28 GMT 2025","1697","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Tue Feb 11 02:39:21 GMT 2025","Tue Feb 11 02:39:21 GMT 2025","500","","","","","","Check Login title",""
"passed","Tue Feb 11 02:39:15 GMT 2025","Tue Feb 11 02:39:17 GMT 2025","2282","","","","","","Admin creates a new student account",""
"passed","Tue Feb 11 02:39:04 GMT 2025","Tue Feb 11 02:39:15 GMT 2025","11195","","","","","","Admin searches for a student account by Student Name",""
"passed","Tue Feb 11 02:39:02 GMT 2025","Tue Feb 11 02:39:04 GMT 2025","1568","","","","","","Admin lists all student accounts",""
"passed","Tue Feb 11 02:39:23 GMT 2025","Tue Feb 11 02:39:25 GMT 2025","1727","","","","","","Fill in admin login with one correct user data",""
