"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 13:56:24 GMT 2025","Mon Feb 10 13:56:31 GMT 2025","7194","","","","","","Admin lists all student accounts",""
"passed","Mon Feb 10 13:57:13 GMT 2025","Mon Feb 10 13:57:14 GMT 2025","1236","","","","","","Admin searches for a student account by Student Name",""
"passed","Mon Feb 10 13:57:26 GMT 2025","Mon Feb 10 13:57:28 GMT 2025","1699","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"broken","Mon Feb 10 13:56:31 GMT 2025","Mon Feb 10 13:57:13 GMT 2025","41226","","","","","","Admin searches for a student account by Student ID",""
"passed","Mon Feb 10 13:57:24 GMT 2025","Mon Feb 10 13:57:26 GMT 2025","1778","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Mon Feb 10 13:57:21 GMT 2025","Mon Feb 10 13:57:22 GMT 2025","1854","","","","","","Fill in student login with one incorrect userName data",""
"passed","Mon Feb 10 13:57:20 GMT 2025","Mon Feb 10 13:57:21 GMT 2025","529","","","","","","Check Login title",""
"passed","Mon Feb 10 13:57:14 GMT 2025","Mon Feb 10 13:57:16 GMT 2025","2552","","","","","","Admin creates a new student account",""
"passed","Mon Feb 10 13:57:16 GMT 2025","Mon Feb 10 13:57:18 GMT 2025","2127","","","","","","Admin modifies a student account",""
"passed","Mon Feb 10 13:57:22 GMT 2025","Mon Feb 10 13:57:24 GMT 2025","1708","","","","","","Fill in admin login with one correct user data",""
"passed","Mon Feb 10 13:57:18 GMT 2025","Mon Feb 10 13:57:20 GMT 2025","1556","","","","","","Admin deletes a student account",""
