"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 15:22:01 GMT 2025","Mon Feb 10 15:22:02 GMT 2025","533","","","","","","Check Login title",""
"passed","Mon Feb 10 15:22:07 GMT 2025","Mon Feb 10 15:22:08 GMT 2025","1706","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Mon Feb 10 15:22:03 GMT 2025","Mon Feb 10 15:22:05 GMT 2025","1710","","","","","","Fill in admin login with one correct user data",""
"passed","Mon Feb 10 15:21:59 GMT 2025","Mon Feb 10 15:22:01 GMT 2025","1528","","","","","","Admin deletes a student account",""
"passed","Mon Feb 10 15:22:02 GMT 2025","Mon Feb 10 15:22:03 GMT 2025","1712","","","","","","Fill in student login with one incorrect userName data",""
"passed","Mon Feb 10 15:22:05 GMT 2025","Mon Feb 10 15:22:07 GMT 2025","1759","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"passed","Mon Feb 10 15:21:44 GMT 2025","Mon Feb 10 15:21:55 GMT 2025","11250","","","","","","Admin searches for a student account by Student Name",""
"passed","Mon Feb 10 15:21:55 GMT 2025","Mon Feb 10 15:21:57 GMT 2025","2247","","","","","","Admin creates a new student account",""
"passed","Mon Feb 10 15:21:41 GMT 2025","Mon Feb 10 15:21:44 GMT 2025","2440","","","","","","Admin lists all student accounts",""
"passed","Mon Feb 10 15:21:57 GMT 2025","Mon Feb 10 15:21:59 GMT 2025","2177","","","","","","Admin modifies a student account",""
