"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 10 08:24:34 GMT 2025","Mon Feb 10 08:24:36 GMT 2025","1677","","","","","","Fill in admin login with one correct user data",""
"passed","Mon Feb 10 08:24:28 GMT 2025","Mon Feb 10 08:24:30 GMT 2025","2174","","","","","","Admin creates a new student account",""
"failed","Mon Feb 10 08:24:25 GMT 2025","Mon Feb 10 08:24:26 GMT 2025","1164","","","","","","Admin searches for a student account by Student ID",""
"passed","Mon Feb 10 08:24:33 GMT 2025","Mon Feb 10 08:24:34 GMT 2025","1857","","","","","","Fill in student login with one incorrect userName data",""
"broken","Mon Feb 10 08:24:30 GMT 2025","Mon Feb 10 08:24:31 GMT 2025","1108","","","","","","Admin modifies a student account",""
"broken","Mon Feb 10 08:24:32 GMT 2025","Mon Feb 10 08:24:33 GMT 2025","516","","","","","","Check Login title",""
"passed","Mon Feb 10 08:24:38 GMT 2025","Mon Feb 10 08:24:40 GMT 2025","1724","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"passed","Mon Feb 10 08:24:36 GMT 2025","Mon Feb 10 08:24:38 GMT 2025","1696","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"broken","Mon Feb 10 08:24:31 GMT 2025","Mon Feb 10 08:24:32 GMT 2025","1087","","","","","","Admin deletes a student account",""
"passed","Mon Feb 10 08:24:26 GMT 2025","Mon Feb 10 08:24:28 GMT 2025","1176","","","","","","Admin searches for a student account by Student Name",""
"passed","Mon Feb 10 08:24:13 GMT 2025","Mon Feb 10 08:24:25 GMT 2025","12753","","","","","","Admin lists all student accounts",""
